! first line is a count of cells
1024
! then [x,y,z] position of each cell
! and amplitude and phase
! default units for position are model units
! default units for amplitude is Volts
! default units for phase is radians
325.000000mm 	1005.000000mm 	0.000000mm 	1.000000mV 	170.744113deg
300.000000mm 	1072.000000mm 	0.000000mm 	1.000000mV 	153.399190deg
325.000000mm 	1139.000000mm 	0.000000mm 	1.000000mV 	115.405550deg
300.000000mm 	1206.000000mm 	0.000000mm 	1.000000mV 	98.060627deg
325.000000mm 	1273.000000mm 	0.000000mm 	1.000000mV 	60.066987deg
300.000000mm 	1340.000000mm 	0.000000mm 	1.000000mV 	42.722064deg
325.000000mm 	1407.000000mm 	0.000000mm 	1.000000mV 	4.728424deg
300.000000mm 	1474.000000mm 	0.000000mm 	1.000000mV 	-12.616499deg
325.000000mm 	1541.000000mm 	0.000000mm 	1.000000mV 	-50.610139deg
300.000000mm 	1608.000000mm 	0.000000mm 	1.000000mV 	-67.955062deg
325.000000mm 	1675.000000mm 	0.000000mm 	1.000000mV 	-105.948703deg
300.000000mm 	1742.000000mm 	0.000000mm 	1.000000mV 	-123.293625deg
325.000000mm 	1809.000000mm 	0.000000mm 	1.000000mV 	-161.287266deg
300.000000mm 	1876.000000mm 	0.000000mm 	1.000000mV 	-178.632188deg
325.000000mm 	1943.000000mm 	0.000000mm 	1.000000mV 	143.374171deg
300.000000mm 	2010.000000mm 	0.000000mm 	1.000000mV 	126.029249deg
325.000000mm 	2077.000000mm 	0.000000mm 	1.000000mV 	88.035608deg
350.000000mm 	0.000000mm 	0.000000mm 	1.000000mV 	-144.541023deg
375.000000mm 	67.000000mm 	0.000000mm 	1.000000mV 	177.465337deg
350.000000mm 	134.000000mm 	0.000000mm 	1.000000mV 	160.120414deg
375.000000mm 	201.000000mm 	0.000000mm 	1.000000mV 	122.126774deg
350.000000mm 	268.000000mm 	0.000000mm 	1.000000mV 	104.781851deg
375.000000mm 	335.000000mm 	0.000000mm 	1.000000mV 	66.788211deg
350.000000mm 	402.000000mm 	0.000000mm 	1.000000mV 	49.443288deg
375.000000mm 	469.000000mm 	0.000000mm 	1.000000mV 	11.449648deg
350.000000mm 	536.000000mm 	0.000000mm 	1.000000mV 	-5.895275deg
375.000000mm 	603.000000mm 	0.000000mm 	1.000000mV 	-43.888916deg
350.000000mm 	670.000000mm 	0.000000mm 	1.000000mV 	-61.233838deg
375.000000mm 	737.000000mm 	0.000000mm 	1.000000mV 	-99.227479deg
350.000000mm 	804.000000mm 	0.000000mm 	1.000000mV 	-116.572401deg
375.000000mm 	871.000000mm 	0.000000mm 	1.000000mV 	-154.566042deg
350.000000mm 	938.000000mm 	0.000000mm 	1.000000mV 	-171.910964deg
375.000000mm 	1005.000000mm 	0.000000mm 	1.000000mV 	150.095395deg
350.000000mm 	1072.000000mm 	0.000000mm 	1.000000mV 	132.750473deg
375.000000mm 	1139.000000mm 	0.000000mm 	1.000000mV 	94.756832deg
350.000000mm 	1206.000000mm 	0.000000mm 	1.000000mV 	77.411909deg
375.000000mm 	1273.000000mm 	0.000000mm 	1.000000mV 	39.418269deg
350.000000mm 	1340.000000mm 	0.000000mm 	1.000000mV 	22.073346deg
375.000000mm 	1407.000000mm 	0.000000mm 	1.000000mV 	-15.920294deg
350.000000mm 	1474.000000mm 	0.000000mm 	1.000000mV 	-33.265217deg
375.000000mm 	1541.000000mm 	0.000000mm 	1.000000mV 	-71.258857deg
350.000000mm 	1608.000000mm 	0.000000mm 	1.000000mV 	-88.603780deg
375.000000mm 	1675.000000mm 	0.000000mm 	1.000000mV 	-126.597420deg
350.000000mm 	1742.000000mm 	0.000000mm 	1.000000mV 	-143.942343deg
375.000000mm 	1809.000000mm 	0.000000mm 	1.000000mV 	178.064017deg
